County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Holmes County,Florida,19398,8514,43.8911228,853,7483,10.01879258,87.89053324
Indian River County,Florida,151159,80009,52.9303581,29043,48620,36.29966629,60.76816358
Jackson County,Florida,48299,21041,43.56404895,6397,14257,30.40254741,67.7581864
Jefferson County,Florida,13960,7645,54.76361032,3541,3930,46.31785481,51.40614781
Lafayette County,Florida,8747,3392,38.77900995,518,2809,15.27122642,82.8125
Lake County,Florida,334913,170462,50.89739723,62838,102188,36.86334784,59.94767162
Lee County,Florida,722649,326420,45.16992343,124908,191551,38.26603762,58.6823724
Leon County,Florida,286744,152132,53.05498982,92068,53821,60.51849709,35.37782978
Levy County,Florida,39837,19395,48.68589502,5101,13775,26.30059294,71.02345965
Liberty County,Florida,8300,3296,39.71084337,651,2543,19.75121359,77.15412621
Madison County,Florida,18316,8505,46.43481109,3526,4851,41.4579659,57.03703704
Manatee County,Florida,375373,178958,47.67471289,71224,101944,39.79928251,56.96532147
Marion County,Florida,347469,174700,50.27786651,62041,107833,35.51287922,61.72467086
Martin County,Florida,158325,85792,54.18727301,30185,53204,35.18393323,62.0151063
Miami-Dade County,Florida,2692213,980204,36.40885769,624146,333999,63.67511253,34.07443757
Monroe County,Florida,76872,42478,55.25809137,18971,21904,44.66076557,51.56551627
Nassau County,Florida,80055,46607,58.21872463,10869,34266,23.32053125,73.52114489
Okaloosa County,Florida,200071,100855,50.40960459,23780,71893,23.57840464,71.28352585
Okeechobee County,Florida,40769,13653,33.48868012,3959,9356,28.99728997,68.52706365
Orange County,Florida,1326516,546275,41.1811844,329894,195216,60.38973045,35.73584733
Osceola County,Florida,338209,140206,41.4554314,85458,50301,60.95174244,35.87649601
Palm Beach County,Florida,1450890,662332,45.65004928,374673,272402,56.56876008,41.12771239
Pasco County,Florida,509937,241139,47.28799832,90142,142101,37.38175907,58.9290824
Pinellas County,Florida,959874,492403,51.29871212,233701,239201,47.46132741,48.57829867
Polk County,Florida,665823,284314,42.70113829,117433,157430,41.30398081,55.37187757
Putnam County,Florida,72373,33117,45.75877744,10094,22138,30.47981399,66.8478425
St. Johns County,Florida,234828,136514,58.13361269,43099,88684,31.57112091,64.96330047
St. Lucie County,Florida,305566,140847,46.09380625,66881,70289,47.48485946,49.90450631
Santa Rosa County,Florida,169894,87745,51.64690925,18464,65339,21.04279446,74.46464186
Sarasota County,Florida,412968,229063,55.46749385,97870,124438,42.72623689,54.32479274
Seminole County,Florida,455945,224896,49.32524756,105914,109443,47.09465709,48.66382684
Sumter County,Florida,122009,76665,62.83552853,22638,52730,29.52846801,68.77975608
Suwannee County,Florida,43834,18694,42.64726012,3964,14287,21.2046646,76.4255911
Taylor County,Florida,22099,9290,42.03810127,2152,6930,23.16469322,74.59634015
Union County,Florida,15238,5694,37.36710854,1014,4568,17.80821918,80.22479803
Volusia County,Florida,528453,260869,49.36465495,109091,143007,41.81830727,54.81946878
Wakulla County,Florida,31882,15351,48.14942601,4348,10512,28.32388769,68.47762361
Walton County,Florida,65421,33637,51.41621192,6876,25756,20.44177543,76.57044326
Washington County,Florida,24454,11156,45.62034841,2264,8637,20.29401219,77.4202223
Appling County,Georgia,18428,7012,38.05079227,1434,5494,20.45065602,78.3513976
Atkinson County,Georgia,8244,2610,31.65938865,697,1878,26.70498084,71.95402299
Bacon County,Georgia,11275,4020,35.654102,608,3364,15.12437811,83.68159204
Baker County,Georgia,3183,1440,45.2403393,650,775,45.13888889,53.81944444
Baldwin County,Georgia,45259,16116,35.60838728,7970,7697,49.4539588,47.75999007
Banks County,Georgia,18325,6975,38.0627558,684,6134,9.806451613,87.94265233
Barrow County,Georgia,77000,29060,37.74025974,6580,21108,22.64280798,72.63592567
Bartow County,Georgia,103338,39550,38.27246511,8212,29911,20.76359039,75.62831858
Ben Hill County,Georgia,17251,5936,34.40959944,2101,3739,35.39420485,62.98854447
Berrien County,Georgia,18996,6590,34.691514,1047,5422,15.88770865,82.27617602
Bibb County,Georgia,153152,62596,40.87181362,36787,24043,58.76893092,38.40980254
Bleckley County,Georgia,12864,4974,38.66604478,1101,3719,22.13510253,74.76879775
Brantley County,Georgia,18415,6301,34.21667119,619,5567,9.823837486,88.35105539
Brooks County,Georgia,15725,6336,40.29252782,2528,3701,39.8989899,58.41224747
Bryan County,Georgia,35839,15173,42.33656073,4014,10529,26.45488697,69.39300072
Bulloch County,Georgia,74642,25316,33.91656172,9261,15097,36.58160847,59.63422342
Burke County,Georgia,22601,9351,41.37427547,4731,4491,50.59351941,48.02694899
Butts County,Georgia,23736,9514,40.08257499,2566,6717,26.9707799,70.60121926
Calhoun County,Georgia,6359,2025,31.84462966,1179,830,58.22222222,40.98765432
Camden County,Georgia,52394,18901,36.07474138,5930,12310,31.37400138,65.12882916
Candler County,Georgia,10849,3763,34.68522444,1026,2664,27.26547967,70.79457879
Carroll County,Georgia,116077,44121,38.01011398,12464,30029,28.24958636,68.06056073
Catoosa County,Georgia,66265,26757,40.37878216,4771,20876,17.830848,78.02070486
Charlton County,Georgia,12842,4016,31.27238748,1004,2951,25,73.4810757
Chatham County,Georgia,288615,112142,38.85522236,62290,45688,55.54564748,40.74120312
Chattahoochee County,Georgia,10047,1390,13.83497561,594,751,42.73381295,54.02877698
Chattooga County,Georgia,24836,8252,33.22596231,1613,6462,19.54677654,78.3082889
Cherokee County,Georgia,241795,112043,46.33801361,25231,80649,22.51903287,71.98040038
Clarke County,Georgia,124905,44976,36.00816621,29603,12717,65.8195482,28.27508004
Clay County,Georgia,3005,1273,42.36272879,697,566,54.75255302,44.46190102
