County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Howell County,Missouri,40132,17455,43.4939699,2881,13893,16.50529934,79.59323976
Iron County,Missouri,10123,4269,42.17129309,933,3173,21.85523542,74.32654017
Jackson County,Missouri,692430,173275,25.02419017,71237,91557,41.11210504,52.83912855
Jasper County,Missouri,119219,48326,40.53548512,10572,35070,21.87642263,72.56963125
Jefferson County,Missouri,223377,106238,47.5599547,31568,69036,29.7144148,64.98239801
Johnson County,Missouri,53497,21132,39.50128045,5930,13719,28.06170736,64.92049972
Knox County,Missouri,3933,1870,47.54640224,379,1416,20.26737968,75.72192513
Laclede County,Missouri,35450,16051,45.27785614,2553,12881,15.90555106,80.25045169
Lafayette County,Missouri,32534,15876,48.79818037,4053,10988,25.52910053,69.21138826
Lawrence County,Missouri,38164,16715,43.79781994,2901,13089,17.35566856,78.30690996
Lewis County,Missouri,10072,4456,44.24146148,934,3344,20.96050269,75.0448833
Lincoln County,Missouri,55146,24962,45.26529576,5575,18159,22.3339476,72.74657479
Linn County,Missouri,12146,5587,45.99868269,1240,4088,22.19437981,73.1698586
Livingston County,Missouri,15127,6421,42.4472797,1265,4879,19.70098116,75.98504906
McDonald County,Missouri,22705,8242,36.30037437,1329,6599,16.12472701,80.06551808
Macon County,Missouri,15164,7621,50.25718808,1548,5798,20.31229497,76.07925469
Madison County,Missouri,12213,5321,43.56832883,1005,4102,18.88742718,77.09077241
Maries County,Missouri,8821,4500,51.01462419,794,3561,17.64444444,79.13333333
Marion County,Missouri,28689,12938,45.0974241,2994,9419,23.14113464,72.80105117
Mercer County,Missouri,3661,1745,47.66457252,216,1486,12.3782235,85.15759312
Miller County,Missouri,24998,11416,45.66765341,1750,9285,15.3293623,81.33321654
Mississippi County,Missouri,13738,5169,37.62556413,1458,3600,28.20661637,69.64596634
Moniteau County,Missouri,15991,6830,42.71152523,1237,5347,18.11127379,78.28696925
Monroe County,Missouri,8633,4156,48.14085486,853,3159,20.52454283,76.0105871
Montgomery County,Missouri,11447,5429,47.42727352,1119,4127,20.61153067,76.01768281
Morgan County,Missouri,20089,8821,43.90960227,1768,6760,20.04307902,76.63530212
New Madrid County,Missouri,17839,7357,41.24110096,1933,5270,26.27429659,71.63245888
Newton County,Missouri,58178,26606,45.73206367,4990,20553,18.75516801,77.2494926
Nodaway County,Missouri,22455,9458,42.11979515,2529,6380,26.73926834,67.4561218
Oregon County,Missouri,10746,4668,43.43941932,865,3671,18.53041988,78.64181662
Osage County,Missouri,13613,7090,52.08256813,998,5856,14.07616361,82.59520451
Ozark County,Missouri,9199,4505,48.97271443,724,3639,16.07103219,80.77691454
Pemiscot County,Missouri,17060,6027,35.32825322,1947,3964,32.30462917,65.77069852
Perry County,Missouri,19216,8740,45.48293089,1520,6908,17.39130435,79.0389016
Pettis County,Missouri,42249,18111,42.8672868,4324,12810,23.8749931,70.73049528
Phelps County,Missouri,44708,18553,41.49816588,4766,12709,25.68856789,68.50105104
Pike County,Missouri,18507,7382,39.88761009,1806,5274,24.46491466,71.4440531
Platte County,Missouri,98641,48885,49.55850002,20057,25933,41.02894548,53.04899253
Polk County,Missouri,31380,13763,43.85914595,2631,10438,19.1164717,75.84102303
Pulaski County,Missouri,52456,13488,25.7129785,2922,9876,21.66370107,73.22064057
Putnam County,Missouri,4825,2346,48.62176166,353,1936,15.04688832,82.52344416
Ralls County,Missouri,10230,5266,51.47605083,1138,3969,21.61033042,75.37030004
Randolph County,Missouri,24970,10309,41.28554265,2283,7529,22.14569793,73.0332719
Ray County,Missouri,22741,10869,47.79473198,3090,7104,28.42947833,65.36019873
Reynolds County,Missouri,6347,3038,47.86513313,540,2406,17.77485188,79.19684003
Ripley County,Missouri,13775,5524,40.10163339,830,4522,15.02534395,81.86097031
St. Charles County,Missouri,390541,201005,51.46834775,68626,121650,34.14143927,60.52088257
St. Clair County,Missouri,9288,4630,49.84926787,936,3501,20.21598272,75.61555076
Ste. Genevieve County,Missouri,17875,8469,47.37902098,2542,5496,30.0153501,64.89550124
St. Francois County,Missouri,66356,24728,37.26565797,6250,17468,25.27499191,70.6405694
St. Louis County,Missouri,997837,514858,51.59740519,286704,202434,55.68603382,39.31841401
Saline County,Missouri,23095,9274,40.1558779,2789,5977,30.07332327,64.4489972
Schuyler County,Missouri,4501,1936,43.01266385,354,1505,18.28512397,77.73760331
Scotland County,Missouri,4902,1968,40.14687882,365,1525,18.54674797,77.4898374
Scott County,Missouri,38760,17256,44.52012384,3575,13168,20.71743162,76.30968938
Shannon County,Missouri,8222,3904,47.48236439,776,2966,19.87704918,75.97336066
Shelby County,Missouri,6044,3255,53.85506287,606,2524,18.61751152,77.5422427
Stoddard County,Missouri,29498,13291,45.05729202,1876,11079,14.11481454,83.35715898
Stone County,Missouri,31471,16567,52.64211496,2887,13158,17.42620873,79.42294924
Sullivan County,Missouri,6333,2486,39.25469762,526,1884,21.15848753,75.7843926
Taney County,Missouri,54608,23515,43.0614562,4373,18276,18.59664044,77.72060387
Texas County,Missouri,25805,10956,42.4568882,1728,8875,15.77217963,81.00584155
Vernon County,Missouri,20653,8599,41.63559773,1707,6533,19.85114548,75.97395046
Warren County,Missouri,33871,15784,46.60033657,3915,11111,24.80359858,70.39406994
Washington County,Missouri,24852,9282,37.34910671,1926,7048,20.7498384,75.93191123
Wayne County,Missouri,13236,5655,42.72438803,948,4658,16.76392573,82.36958444
Webster County,Missouri,38154,16743,43.88268596,3177,12840,18.97509407,76.68876545
Worth County,Missouri,2015,1046,51.91066998,195,808,18.64244742,77.24665392
Wright County,Missouri,18185,8119,44.64668683,1170,6707,14.4106417,82.60869565
St. Louis city,Missouri,312633,131191,41.96326044,104235,20832,79.45285881,15.87913805
Kansas City,Missouri,692430,128601,18.57241887,97735,24654,75.99863143,19.17092402
Beaverhead County,Montana,9463,4849,51.24167811,1143,3353,23.57187049,69.148278
Big Horn County,Montana,13458,4237,31.48313271,2094,1853,49.42176068,43.7337739
Blaine County,Montana,6716,2684,39.96426444,1202,1268,44.78390462,47.24292101
Broadwater County,Montana,5785,3133,54.15730337,573,2348,18.2891797,74.94414299
Carbon County,Montana,10485,5991,57.13876967,1828,3748,30.51243532,62.56050743
Carter County,Montana,1175,786,66.89361702,70,678,8.905852417,86.25954198
Cascade County,Montana,81562,34571,42.38616022,12175,19632,35.21737873,56.78748084
Chouteau County,Montana,5780,2603,45.03460208,732,1679,28.12139839,64.50249712
Custer County,Montana,11843,5185,43.78113654,1176,3657,22.68081003,70.53037608
Daniels County,Montana,1731,962,55.57481225,168,730,17.46361746,75.88357588
Dawson County,Montana,9263,4374,47.22012307,787,3320,17.99268404,75.90306356
Deer Lodge County,Montana,9057,4206,46.43921828,2058,1763,48.93009986,41.91631003
Fallon County,Montana,3086,1484,48.08813999,154,1279,10.37735849,86.18598383
Fergus County,Montana,11349,5840,51.45827826,1202,4269,20.58219178,73.09931507
Flathead County,Montana,97742,46571,47.64686624,13293,30240,28.5435142,64.93311288
Gallatin County,Montana,104739,53819,51.38391621,24246,23802,45.05100429,44.22601683
Garfield County,Montana,1299,718,55.27328714,34,653,4.735376045,90.94707521
Glacier County,Montana,13711,5075,37.01407629,3121,1620,61.49753695,31.92118227
Golden Valley County,Montana,810,474,58.51851852,71,365,14.97890295,77.00421941
Granite County,Montana,3286,1777,54.07790627,472,1192,26.56162071,67.07934721
Hill County,Montana,16448,6445,39.18409533,2371,3478,36.78820791,53.96431342
Jefferson County,Montana,11779,6714,56.99974531,1998,4177,29.75871314,62.21328567
Judith Basin County,Montana,1940,1208,62.26804124,235,872,19.45364238,72.18543046
Lake County,Montana,29709,13181,44.36702683,4776,7530,36.23397314,57.12768379
Lewis and Clark County,Montana,66894,34478,51.54124436,14478,16895,41.9919949,49.00226231
Liberty County,Montana,2409,961,39.8920714,206,698,21.43600416,72.6326743
Lincoln County,Montana,19294,9330,48.35700218,2041,6729,21.87566988,72.1221865
McCone County,Montana,1732,1060,61.20092379,154,862,14.52830189,81.32075472
Madison County,Montana,8062,4778,59.2656909,1180,3297,24.69652574,69.00376727
Meagher County,Montana,1845,977,52.95392954,193,729,19.75435005,74.61617195
Mineral County,Montana,4124,2012,48.78758487,519,1330,25.79522863,66.10337972
Missoula County,Montana,116349,59203,50.88397838,31543,22250,53.27939463,37.58255494
Musselshell County,Montana,4646,2441,52.5398192,332,1967,13.6009832,80.5817288
Park County,Montana,16115,9359,58.0763264,3595,4980,38.41222353,53.21081312
Petroleum County,Montana,491,322,65.58044807,30,278,9.316770186,86.33540373
Phillips County,Montana,4113,2171,52.78385607,318,1723,14.64762782,79.36434823
Pondera County,Montana,6035,2723,45.12013256,738,1799,27.10246052,66.06683805
Powder River County,Montana,1746,1053,60.30927835,127,884,12.06077873,83.95061728
Powell County,Montana,6841,2794,40.84198217,551,2029,19.72083035,72.61989979
Prairie County,Montana,1159,689,59.44779983,100,556,14.5137881,80.69666183
Ravalli County,Montana,41918,22556,53.80981917,6223,14810,27.58911154,65.65880475
Richland County,Montana,11408,4871,42.69810659,671,3908,13.77540546,80.22993225
Roosevelt County,Montana,11225,3652,32.53452116,1560,1797,42.71631982,49.20591457
Rosebud County,Montana,9232,3453,37.402513,987,2253,28.58384014,65.24761077
Sanders County,Montana,11465,5953,51.92324466,1218,4286,20.46027213,71.99731228
Sheridan County,Montana,3608,1835,50.85920177,477,1241,25.99455041,67.62942779
Silver Bow County,Montana,34696,16452,47.41756975,8619,6376,52.38876732,38.75516655
Stillwater County,Montana,9360,4873,52.06196581,908,3661,18.63328545,75.12825775
Sweet Grass County,Montana,3616,2107,58.26880531,402,1595,19.07925961,75.70004746
Teton County,Montana,6011,3188,53.03610048,808,2170,25.34504391,68.06775408
Toole County,Montana,4951,2037,41.14320339,402,1497,19.73490427,73.4904271
Treasure County,Montana,680,443,65.14705882,59,351,13.31828442,79.23250564
Valley County,Montana,7532,3894,51.69941583,886,2698,22.75295326,69.28608115
Wheatland County,Montana,2130,946,44.41314554,179,702,18.9217759,74.20718816
Wibaux County,Montana,1042,541,51.9193858,55,463,10.1663586,85.58225508
Yellowstone County,Montana,157914,69108,43.76306091,22171,40920,32.08166927,59.21166869
Adams County,Nebraska,31683,13513,42.65063283,3302,9287,24.43572856,68.7264116
Antelope County,Nebraska,6345,3281,51.71000788,383,2732,11.67327034,83.26729656
Arthur County,Nebraska,466,273,58.58369099,17,244,6.227106227,89.37728938
Banner County,Nebraska,716,402,56.1452514,19,357,4.726368159,88.80597015
Blaine County,Nebraska,470,317,67.44680851,30,276,9.463722397,87.06624606
Boone County,Nebraska,5333,2905,54.47215451,414,2299,14.25129088,79.1394148
Box Butte County,Nebraska,11176,4924,44.05869721,965,3617,19.5978879,73.4565394
Boyd County,Nebraska,1980,1156,58.38383838,128,983,11.07266436,85.03460208
Brown County,Nebraska,2980,1597,53.59060403,153,1385,9.580463369,86.72510958
Buffalo County,Nebraska,49104,21129,43.02908113,4763,14569,22.54247716,68.95262436
Burt County,Nebraska,6537,3558,54.42863699,930,2367,26.13827993,66.52613828
Butler County,Nebraska,7996,3981,49.7873937,691,3079,17.35744788,77.34237629
Cass County,Nebraska,25647,12933,50.42695052,3484,8452,26.93883863,65.3521998
Cedar County,Nebraska,8604,4420,51.37145514,571,3532,12.91855204,79.90950226
Chase County,Nebraska,3914,1898,48.4925907,171,1648,9.009483667,86.82824025
Cherry County,Nebraska,5829,3118,53.49116487,317,2623,10.16677357,84.12443874
Cheyenne County,Nebraska,10047,4711,46.88961879,711,3665,15.09233708,77.79664615
Clay County,Nebraska,6135,3065,49.9592502,477,2422,15.56280587,79.02120718
Colfax County,Nebraska,10712,3214,30.00373413,859,2171,26.72682016,67.54822651
Cuming County,Nebraska,8957,4074,45.48397901,719,3122,17.6485027,76.63230241
Custer County,Nebraska,10824,5652,52.2172949,641,4695,11.34111819,83.06794055
Dakota County,Nebraska,20279,6279,30.96306524,2314,3616,36.85300207,57.58878802
Dawes County,Nebraska,8911,3676,41.25238469,801,2632,21.78998912,71.59956474
Dawson County,Nebraska,23779,8635,36.31355398,2136,5984,24.73653735,69.29936306
Deuel County,Nebraska,1861,984,52.8747985,120,809,12.19512195,82.21544715
Dixon County,Nebraska,5742,2782,48.45001742,556,2041,19.98562185,73.36448598
Dodge County,Nebraska,36677,15529,42.33988603,4544,9933,29.26138193,63.96419602
Douglas County,Nebraska,555607,240433,43.27393283,113798,108077,47.33044133,44.95098427
Dundy County,Nebraska,1806,953,52.76854928,89,823,9.338929696,86.35886674
Fillmore County,Nebraska,5622,2941,52.31234436,613,2130,20.8432506,72.42434546
Franklin County,Nebraska,2994,1673,55.87842351,250,1347,14.94321578,80.51404662
Frontier County,Nebraska,2645,1328,50.20793951,161,1110,12.12349398,83.58433735
Furnas County,Nebraska,4762,2340,49.13901722,304,1921,12.99145299,82.09401709
Gage County,Nebraska,21625,10048,46.46473988,2935,6380,29.20979299,63.49522293
Garden County,Nebraska,1907,1075,56.37126377,153,869,14.23255814,80.8372093
Garfield County,Nebraska,1994,980,49.14744233,121,821,12.34693878,83.7755102
Gosper County,Nebraska,2025,1010,49.87654321,166,794,16.43564356,78.61386139
Grant County,Nebraska,665,405,60.90225564,20,367,4.938271605,90.61728395
Greeley County,Nebraska,2400,1175,48.95833333,210,912,17.87234043,77.61702128
Hall County,Nebraska,61353,22060,35.95586198,6282,14408,28.47688123,65.31278332
Hamilton County,Nebraska,9158,5004,54.64075126,878,3783,17.54596323,75.59952038
Harlan County,Nebraska,3451,1832,53.08606201,254,1496,13.86462882,81.65938865
Hayes County,Nebraska,891,514,57.68799102,30,472,5.836575875,91.82879377
Hitchcock County,Nebraska,2828,1468,51.90947666,161,1232,10.96730245,83.92370572
Holt County,Nebraska,10223,5118,50.06358212,531,4354,10.37514654,85.07229386
Hooker County,Nebraska,683,417,61.05417277,40,355,9.592326139,85.13189448
Howard County,Nebraska,6407,2994,46.73013891,544,2284,18.16967268,76.28590514
Jefferson County,Nebraska,7181,3494,48.65617602,837,2399,23.95535203,68.66056096
Johnson County,Nebraska,5213,2089,40.07289469,563,1355,26.95069411,64.86357109
Kearney County,Nebraska,6561,3296,50.23624447,550,2531,16.6868932,76.79004854
Keith County,Nebraska,8096,4034,49.8270751,571,3235,14.15468518,80.19335647
Keya Paha County,Nebraska,792,479,60.47979798,40,460,8.350730689,96.03340292
Kimball County,Nebraska,3669,1677,45.70727719,230,1330,13.7149672,79.30828861
Knox County,Nebraska,8484,4115,48.50306459,720,3188,17.49696233,77.472661
Lancaster County,Nebraska,310306,136223,43.8995701,61898,61588,45.43872914,45.21116111
Lincoln County,Nebraska,35487,16131,45.45608251,2913,12164,18.05839688,75.40760027
Logan County,Nebraska,792,453,57.1969697,32,400,7.06401766,88.30022075
Loup County,Nebraska,616,385,62.5,48,323,12.46753247,83.8961039
McPherson County,Nebraska,503,287,57.05765408,14,257,4.87804878,89.54703833
Madison County,Nebraska,34979,14343,41.00460276,2711,10628,18.90120616,74.09886356
Merrick County,Nebraska,7838,3788,48.32865527,602,2926,15.89229145,77.24392819
Morrill County,Nebraska,4867,2209,45.38730224,284,1802,12.85649615,81.57537347
Nance County,Nebraska,3561,1621,45.52092109,281,1261,17.33497841,77.79148674
Nemaha County,Nebraska,6973,3161,45.33199484,785,2116,24.83391332,66.94084151
Nuckolls County,Nebraska,4274,2205,51.59101544,353,1726,16.00907029,78.27664399
Otoe County,Nebraska,15950,7457,46.7523511,2025,4860,27.15569264,65.17366233
Pawnee County,Nebraska,2699,1327,49.16635791,279,974,21.02486812,73.39864356
Perkins County,Nebraska,2892,1455,50.31120332,161,1217,11.0652921,83.64261168
Phelps County,Nebraska,9193,4695,51.07146742,572,3849,12.18317359,81.98083067
Pierce County,Nebraska,7144,3630,50.8118701,382,3052,10.52341598,84.07713499
Platte County,Nebraska,33008,14433,43.72576345,2646,10965,18.33298691,75.97173145
Polk County,Nebraska,5190,2582,49.7495183,413,2028,15.99535244,78.54376452
Red Willow County,Nebraska,10767,5170,48.01708925,645,4258,12.47582205,82.35976789
Richardson County,Nebraska,8004,3805,47.53873063,818,2769,21.49802891,72.77266754
Rock County,Nebraska,1404,798,56.83760684,70,687,8.771929825,86.09022556
Saline County,Nebraska,14228,5136,36.09783525,1733,3004,33.74221184,58.48909657
Sarpy County,Nebraska,178355,80580,45.17955762,28033,45143,34.78902954,56.02258625
Saunders County,Nebraska,20992,10860,51.7339939,2523,7555,23.2320442,69.56721915
Scotts Bluff County,Nebraska,36420,14317,39.31081823,3207,10076,22.39994412,70.37787246
Seward County,Nebraska,17103,7922,46.31935918,1875,5454,23.66826559,68.84625095
Sheridan County,Nebraska,5235,2608,49.81852913,287,2211,11.00460123,84.77760736
Sherman County,Nebraska,3012,1573,52.22443559,340,1150,21.61474889,73.10870947
Sioux County,Nebraska,1259,736,58.45909452,81,616,11.00543478,83.69565217
Stanton County,Nebraska,5975,2801,46.87866109,417,2187,14.88754016,78.07925741
Thayer County,Nebraska,5080,2690,52.95275591,499,2051,18.55018587,76.24535316
Thomas County,Nebraska,722,393,54.43213296,30,344,7.633587786,87.53180662
Thurston County,Nebraska,7139,2088,29.24779381,919,1043,44.01340996,49.95210728
Valley County,Nebraska,4201,2205,52.48750298,339,1780,15.37414966,80.72562358
Washington County,Nebraska,20213,10832,53.58927423,2623,7424,24.21528804,68.53766617
Wayne County,Nebraska,9379,3776,40.26015567,835,2693,22.11334746,71.31885593
Webster County,Nebraska,3566,1708,47.89680314,306,1330,17.91569087,77.86885246
Wheeler County,Nebraska,804,465,57.8358209,62,377,13.33333333,81.07526882
York County,Nebraska,13740,6381,46.44104803,1186,4700,18.58642846,73.65616675
Churchill County,Nevada,23904,10938,45.75803213,2210,7830,20.20479064,71.58529896
Clark County,Nevada,2138836,767156,35.86792068,402227,320057,52.4309267,41.71993701
Douglas County,Nevada,47834,27885,58.29535477,8454,17415,30.31737493,62.45293168
Elko County,Nevada,52082,18559,35.63419224,3401,13551,18.32534081,73.01578749
Esmeralda County,Nevada,826,423,51.21065375,65,329,15.36643026,77.77777778
Eureka County,Nevada,1936,854,44.11157025,74,723,8.665105386,84.66042155
Humboldt County,Nevada,16795,6433,38.30306639,1386,4521,21.54515778,70.27825276
Lander County,Nevada,5684,2413,42.45249824,403,1828,16.70120182,75.75631993
Lincoln County,Nevada,5154,2132,41.36592938,285,1671,13.36772983,78.37711069
Lyon County,Nevada,52707,23762,45.08319578,6146,16005,25.86482619,67.35544146
Mineral County,Nevada,4376,1997,45.63528336,637,1179,31.89784677,59.03855784
Nye County,Nevada,43248,19595,45.30845357,5094,13324,25.99642766,67.99693799
Pershing County,Nevada,6576,1982,30.13990268,430,1403,21.69525732,70.78708375
Storey County,Nevada,3986,2558,64.17461114,752,1616,29.39796716,63.17435496
Washoe County,Nevada,449723,209909,46.67517561,97379,94758,46.39105517,45.14241886
White Pine County,Nevada,9749,3773,38.70140527,707,2723,18.73840445,72.17068646
Carson City,Nevada,54147,25016,46.20015883,9610,13125,38.41541413,52.46642149
Belknap County,New Hampshire,60747,35045,57.69009169,13517,19315,38.57040947,55.11485233
Carroll County,New Hampshire,47497,29616,62.35341179,12987,14635,43.8512966,49.41585629
Cheshire County,New Hampshire,75975,41895,55.14313919,22064,16876,52.66499582,40.28165652
Coos County,New Hampshire,31916,15627,48.96290262,6563,7952,41.99782428,50.88628656
Grafton County,New Hampshire,90004,51191,56.87636105,28510,19010,55.6933836,37.13543396
Hillsborough County,New Hampshire,411333,214157,52.06414268,99589,100013,46.50279935,46.70078494
Merrimack County,New Hampshire,149063,83648,56.11587047,40198,37674,48.05614002,45.03873374
Rockingham County,New Hampshire,304377,181434,59.60831469,79994,90447,44.08986188,49.85118556
Strafford County,New Hampshire,128311,69000,53.77559212,34894,29072,50.57101449,42.13333333
Sullivan County,New Hampshire,43084,22683,52.64831492,10210,10796,45.01168276,47.59511528
Atlantic County,New Jersey,267217,117291,43.89353971,60924,52690,51.94260429,44.92245782
Bergen County,New Jersey,928120,419296,45.17691678,231211,175529,55.14266771,41.86278906
Burlington County,New Jersey,445972,218943,49.09344084,121725,89272,55.59666214,40.77408275
Camden County,New Jersey,507002,226592,44.69252587,146717,72631,64.74941746,32.05364708
Cape May County,New Jersey,93655,48722,52.02284982,18750,28446,38.48364189,58.38430278
Cumberland County,New Jersey,153233,54004,35.24306122,27771,24453,51.42396859,45.27997926
Essex County,New Jersey,792689,310934,39.22521947,240837,63176,77.45598744,20.31813825
Gloucester County,New Jersey,290761,139542,47.99199342,66870,67544,47.92105603,48.40406473
Hudson County,New Jersey,668588,219375,32.81168672,163917,49043,74.72,22.35578348
Hunterdon County,New Jersey,124775,70836,56.77098778,28898,38712,40.79564063,54.65017788
Mercer County,New Jersey,367699,156529,42.56987373,104775,46193,66.93647822,29.51082547
Middlesex County,New Jersey,825457,326102,39.50563143,193044,122953,59.19742903,37.70384726
Monmouth County,New Jersey,622971,314377,50.46414681,137181,166723,43.63582578,53.03282365
Morris County,New Jersey,493801,250416,50.71192646,115249,126071,46.0230177,50.34462654
Ocean County,New Jersey,590897,274362,46.43144237,87150,179079,31.76460297,65.27106523
Passaic County,New Jersey,504147,194802,38.6399205,116759,72902,59.93726964,37.42364041
Salem County,New Jersey,63203,29494,46.66550638,11904,16381,40.36075134,55.54010985
Somerset County,New Jersey,329875,157092,47.62167488,85689,65505,54.54701703,41.69849515
Sussex County,New Jersey,141925,74126,52.22899419,24212,46658,32.66330302,62.94417613
Union County,New Jersey,552781,221975,40.15604733,147414,68114,66.41018133,30.68543755
Warren County,New Jersey,106059,49236,46.42321727,17281,29858,35.09830206,60.64261922
Bernalillo County,New Mexico,677683,274662,40.52956913,143417,94698,52.21581435,34.47801298
Catron County,New Mexico,3518,2049,58.24332007,427,1464,20.83943387,71.44948755
Chaves County,New Mexico,65646,20271,30.87926149,5534,12872,27.30008386,63.49958068
Cibola County,New Mexico,27049,8063,29.80886539,3741,3195,46.39712266,39.62544958
Colfax County,New Mexico,12250,5332,43.52653061,2129,2585,39.92873218,48.48087022
Curry County,New Mexico,50283,13370,26.58950341,3121,9035,23.34330591,67.57666417
De Baca County,New Mexico,1835,910,49.59128065,193,620,21.20879121,68.13186813
Dona Ana County,New Mexico,214663,70648,32.91112115,37947,25374,53.71277319,35.91609104
Eddy County,New Mexico,57650,19667,34.11448395,5033,13147,25.59109168,66.84801953
Grant County,New Mexico,28040,12811,45.68830243,6276,5288,48.98914995,41.27702755
Guadalupe County,New Mexico,4369,1827,41.81734951,970,595,53.09250137,32.56704981
Harding County,New Mexico,687,527,76.71033479,156,311,29.60151803,59.01328273
Hidalgo County,New Mexico,4324,1872,43.29324699,784,910,41.88034188,48.61111111
Lea County,New Mexico,70249,17712,25.21317029,3930,12495,22.18834688,70.54539295
Lincoln County,New Mexico,19397,8902,45.8936949,2331,5896,26.18512694,66.23230735
Los Alamos County,New Mexico,18209,10885,59.77813169,5562,3359,51.09784107,30.85898025
Luna County,New Mexico,24362,7295,29.94417536,3195,3478,43.79712132,47.67649075
McKinley County,New Mexico,73028,21703,29.71873802,13576,5104,62.55356402,23.51748606
Mora County,New Mexico,4533,2441,53.84954776,1536,665,62.92503073,27.24293322
Otero County,New Mexico,65647,20060,30.55737505,6124,11887,30.52841476,59.25722832
Quay County,New Mexico,8390,3572,42.57449344,1017,2212,28.47144457,61.92609183
Rio Arriba County,New Mexico,39245,14878,37.91056186,9592,3599,64.47103105,24.19007931
Roosevelt County,New Mexico,19145,5950,31.0786106,1454,3884,24.43697479,65.27731092
Sandoval County,New Mexico,140464,61690,43.91872651,27707,25905,44.91327606,41.99221916
San Juan County,New Mexico,127954,46110,36.03638808,12865,27946,27.90067231,60.60724355
San Miguel County,New Mexico,28005,10751,38.38957329,7285,2313,67.7611385,21.51427774
Santa Fe County,New Mexico,148758,71434,48.02027454,50793,14332,71.10479604,20.06327519
Sierra County,New Mexico,11117,5181,46.60429972,1612,3010,31.11368462,58.09689249
Socorro County,New Mexico,16964,6868,40.4857345,3313,2616,48.23820617,38.08969132
Taos County,New Mexico,32922,15260,46.35198348,10668,2727,69.90825688,17.87024902
Torrance County,New Mexico,15491,6324,40.82370409,1785,3714,28.22580645,58.72865275
Union County,New Mexico,4154,1702,40.97255657,320,1216,18.80141011,71.4453584
Valencia County,New Mexico,75599,27592,36.49783727,10841,13215,39.29037402,47.89431719
Albany County,New York,307597,139830,45.45883087,83077,47810,59.41285847,34.19151827
Allegany County,New York,47044,18692,39.7330159,4882,12525,26.1181254,67.00727584
Bronx County,New York,1444417,399522,27.65974092,353646,37797,88.51727815,9.460555364
Broome County,New York,194498,86072,44.25341135,39212,40943,45.55720792,47.5683149
Cattaraugus County,New York,77658,31161,40.1259368,9497,19692,30.47719906,63.19437759
Cayuga County,New York,77674,33172,42.70669722,13522,17384,40.76329434,52.40564331
Chautauqua County,New York,129206,54234,41.97483089,19091,31594,35.20116532,58.25496921
Chemung County,New York,85644,36119,42.17341553,13757,20097,38.08798693,55.64107533
Chenango County,New York,48315,20160,41.726172,6775,11921,33.60615079,59.13194444
Clinton County,New York,80500,32105,39.88198758,15059,14449,46.90546644,45.00545086
Columbia County,New York,60835,30902,50.79641654,15284,13756,49.4595819,44.51491813
Cortland County,New York,47915,20244,42.24981738,8771,9900,43.3264177,48.90337878
Delaware County,New York,45393,19792,43.60143634,6627,11942,33.48322555,60.33751011
Dutchess County,New York,293029,130934,44.68294947,62261,61797,47.55143813,47.19706111
Erie County,New York,918678,423625,46.11245725,215456,188303,50.86007672,44.45039835
Essex County,New York,37671,17218,45.70624618,7762,7958,45.08072947,46.21907306
Franklin County,New York,51081,16952,33.1865077,7297,8221,43.04506843,48.49575271
Fulton County,New York,53610,21214,39.57097556,6496,13462,30.62128783,63.45809371
Genesee County,New York,58013,26432,45.56220158,7650,16915,28.94219128,63.99440073
Greene County,New York,47494,22050,46.42691708,7405,13073,33.58276644,59.28798186
Hamilton County,New York,4556,3225,70.785777,949,2064,29.42635659,64
Herkimer County,New York,62436,26255,42.05106029,8083,16699,30.78651685,63.60312321
Jefferson County,New York,112980,38236,33.84315808,13809,21763,36.11517941,56.9175646
Kings County,New York,2608423,805605,30.88475297,640553,141044,79.51204374,17.50783573
Lewis County,New York,26647,11325,42.50009382,3146,7400,27.77924945,65.34216336
Livingston County,New York,64000,30031,46.9234375,10697,17290,35.61985948,57.57384036
Madison County,New York,71387,30064,42.11411041,11667,15936,38.80721128,53.00691857
Monroe County,New York,743770,347790,46.76042325,188592,136582,54.22582593,39.27139941
Montgomery County,New York,49169,19054,38.75205922,6595,11301,34.61215493,59.31038102
Nassau County,New York,1355952,636967,46.97563041,326088,288313,51.19386091,45.26341239
New York County,New York,1635443,668939,40.90261782,579013,64929,86.55692074,9.706266192
Niagara County,New York,211554,92402,43.67773713,35559,51961,38.48293327,56.23363131
Oneida County,New York,230375,91009,39.50472056,33743,51437,37.07655287,56.51858607
Onondaga County,New York,464109,208440,44.91186338,112337,83649,53.89416619,40.13097294
Ontario County,New York,109229,52258,47.8426059,22233,26029,42.54468215,49.80864174
Orange County,New York,377799,152021,40.23859248,68278,76645,44.91353168,50.41737655
Orleans County,New York,41247,16380,39.71197905,4470,10936,27.28937729,66.76434676
Oswego County,New York,118895,48180,40.52315068,17095,27688,35.4815276,57.46782897
Otsego County,New York,60132,25668,42.6860906,10451,13308,40.7160667,51.84665732
Putnam County,New York,98761,48563,49.1722441,19366,27024,39.87809649,55.6473035
Queens County,New York,2306830,686393,29.75481505,517220,149341,75.35333257,21.75736058
Rensselaer County,New York,159294,71562,44.92447926,32717,33726,45.71839803,47.12836422
Richmond County,New York,474040,180960,38.17399376,74143,101437,40.97203802,56.05492927
